Date,Timestamp,GameEvent,Event,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,InputNumber
2020-05-05,11:14:53.2834,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,10,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,10,
2020-05-05,11:14:53.3164,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.033228,0.033228,NA,WrongKey,H,K,10,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,10,
2020-05-05,11:14:53.3663,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.08328781,0.0500598,NA,WrongKey,J,None,10,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,10,
2020-05-05,11:14:53.3994,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.1164053,0.0331175,NA,WrongKey,L,None,10,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,10,
2020-05-05,11:14:53.4024,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1332174,0.0168121,NA,NA,NA,NA,10,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,10,
2020-05-05,11:14:53.4334,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,11,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,11,
2020-05-05,11:14:53.4664,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0332585,0.0332585,NA,WrongKey,H,K,11,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,11,
2020-05-05,11:14:53.5004,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.0667192,0.0334607,NA,WrongKey,J,None,11,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,11,
2020-05-05,11:14:53.5493,Moving down (arrow) - lane: 1,KeyDown,DownArrow,0.1167839,0.0500647,NA,WrongKey,L,None,11,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,11,
2020-05-05,11:14:53.5513,Moving down (arrow) - lane: 1,KeySequenceStopped,NA,0.1333819,0.016598,NA,NA,NA,NA,11,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,11,
2020-05-05,11:14:53.6683,Waiting for input,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,11,
2020-05-05,11:14:53.5838,Waiting for input,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,12,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,12,
2020-05-05,11:14:53.6163,Waiting for input,KeyDown,DownArrow,0.0333832,0.0333832,NA,WrongKey,H,K,12,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,12,
2020-05-05,11:14:53.6493,Waiting for input,KeyDown,DownArrow,0.0665926,0.0332094,NA,WrongKey,J,None,12,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,12,
2020-05-05,11:14:53.6833,Waiting for input,KeyDown,DownArrow,0.09992769,0.0333351,NA,WrongKey,L,None,12,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,12,
2020-05-05,11:14:53.6862,Waiting for input,KeySequenceStopped,NA,0.1169232,0.0169955,NA,NA,NA,NA,12,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,12,
2020-05-05,11:14:54.4667,Moving down (arrow) - lane: 2,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,12,
2020-05-05,11:14:54.4667,Moving down (arrow) - lane: 2,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,13,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,13,
2020-05-05,11:14:55.0661,Moving down (arrow) - lane: 2,KeyDown,DownArrow,0.5995198,0.5995198,NA,WrongKey,H,K,13,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,13,
2020-05-05,11:14:55.0993,Moving down (arrow) - lane: 2,KeyDown,DownArrow,0.6328211,0.0333013,NA,WrongKey,J,None,13,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,13,
2020-05-05,11:14:55.1333,Moving down (arrow) - lane: 2,KeyDown,DownArrow,0.66633,0.0335089,NA,WrongKey,L,None,13,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,13,
2020-05-05,11:14:55.1343,Moving down (arrow) - lane: 2,KeySequenceStopped,NA,0.6829379,0.0166079,NA,NA,NA,NA,13,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,13,
2020-05-05,11:14:55.2327,Waiting for input,Game event,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,13,
2020-05-05,11:14:55.1662,Waiting for input,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,14,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,14,
2020-05-05,11:14:55.2166,Waiting for input,KeyDown,DownArrow,0.050082,0.050082,NA,WrongKey,H,K,14,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,14,
2020-05-05,11:14:55.2496,Waiting for input,KeyDown,DownArrow,0.0834787,0.0333967,NA,WrongKey,J,None,14,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,14,
2020-05-05,11:14:55.2826,Waiting for input,KeyDown,DownArrow,0.1167208,0.0332421,NA,WrongKey,L,None,14,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,14,
2020-05-05,11:14:55.2846,Waiting for input,KeySequenceStopped,NA,0.133458,0.0167372,NA,NA,NA,NA,14,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,14,
2020-05-05,11:14:55.3166,Waiting for input,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,15,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,15,
2020-05-05,11:14:55.3506,Waiting for input,KeyDown,DownArrow,0.0330998,0.0330998,NA,WrongKey,H,K,15,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,15,
2020-05-05,11:14:55.3837,Waiting for input,KeyDown,DownArrow,0.0661862,0.0330864,NA,WrongKey,J,None,15,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,15,
2020-05-05,11:14:55.4332,Waiting for input,KeyDown,DownArrow,0.116151,0.0499648,NA,WrongKey,L,None,15,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,15,
2020-05-05,11:14:55.4362,Waiting for input,KeySequenceStopped,NA,0.1330273,0.0168763,NA,NA,NA,NA,15,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,15,
2020-05-05,11:14:55.4662,Waiting for input,KeyDown,DownArrow,0,0,NA,WrongKey,H,K,16,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,16,
2020-05-05,11:14:55.5012,Waiting for input,KeyDown,DownArrow,0.0334235,0.0334235,NA,WrongKey,H,K,16,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,16,
2020-05-05,11:14:55.5336,Waiting for input,KeyDown,DownArrow,0.0667222,0.0332987,NA,WrongKey,J,None,16,Mistyped,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,16,
